grid_code,STATE_ABBR,latitude,longitude
31.0000000,MT,48.717779470000004,-107.727642639999999
31.0000000,MT,48.728910149999997,-107.594256849999994
31.0000000,MT,48.739914630000001,-107.460825130000003
31.0000000,MT,48.750792799999999,-107.327348000000001
32.0000000,MT,48.761544600000001,-107.193825939999996
32.0000000,MT,48.772169949999999,-107.060259470000005
32.0000000,MT,48.782668760000000,-106.926649089999998
32.0000000,MT,48.793040959999999,-106.792995309999995
32.0000000,MT,48.803286460000002,-106.659298629999995
31.0000000,MT,48.813405199999998,-106.525559569999999
31.0000000,MT,48.823397100000001,-106.391778639999998
21.0000000,MT,48.833262089999998,-106.257956340000007
21.0000000,MT,48.843000080000003,-106.124093189999996
31.0000000,MT,48.852611000000003,-105.990189689999994
31.0000000,MT,48.862094800000001,-105.856246380000002
31.0000000,MT,48.871451380000003,-105.722263749999996
31.0000000,MT,48.880680689999998,-105.588242320000006
31.0000000,MT,48.889782650000001,-105.454182610000004
12.0000000,MT,47.715222230000002,-115.730813929999997
12.0000000,MT,47.733835569999997,-115.601300699999996
21.0000000,MT,47.752329269999997,-115.471713559999998
11.0000000,MT,47.770703200000000,-115.342052949999996
11.0000000,MT,47.788957240000002,-115.212319269999995
13.0000000,MT,47.807091270000001,-115.082512949999995
12.0000000,MT,47.825105160000000,-114.952634410000002
12.0000000,MT,47.842998790000003,-114.822684080000002
11.0000000,MT,47.860772050000001,-114.692662389999995
22.0000000,MT,47.878424799999998,-114.562569760000002
12.0000000,MT,47.895956939999998,-114.432406619999995
11.0000000,MT,47.947828440000002,-114.041498489999995
21.0000000,MT,47.964876910000001,-113.911057650000004
12.0000000,MT,47.981804169999997,-113.780548479999993
12.0000000,MT,47.998610100000001,-113.649971420000000
12.0000000,MT,48.015294590000003,-113.519326890000002
12.0000000,MT,48.031857530000003,-113.388615360000003
12.0000000,MT,48.048298789999997,-113.257837260000002
22.0000000,MT,48.064618269999997,-113.126993029999994
