grid_code,degrees,metres,protected
0.0448687,1.2888905,1257.6268311,1
0.0363760,0.8939163,1684.9978027,1
0.0273067,1.0302352,1664.5979004,1
0.0238184,1.6097403,2145.6054688,1
0.0228887,0.2682619,2101.5456543,1
0.0306130,1.4381229,1800.7918701,1
0.3477766,1.1399349,1572.6124268,0
0.3730685,0.8025271,1436.8789062,0
0.3001307,0.5967712,1335.9492188,0
0.3967523,0.3126550,1258.0524902,1
0.3844615,0.1980322,1206.6405029,0
0.6944271,0.2141216,1188.5769043,1
0.7166412,0.1162165,1149.8115234,1
0.6393801,0.1327529,1154.0283203,1
0.6246350,0.3684250,1198.7209473,1
0.7900742,0.6376875,1065.5369873,0
0.8527921,0.2229635,1016.7090454,1
0.9390166,0.1761778,1062.9006348,1
0.9383346,0.3560212,1077.7293701,0
0.6910088,0.5398101,1070.1177979,0
0.6094260,0.4313449,1206.3364258,1
0.7788339,0.9861733,1235.8033447,1
0.3595126,0.1083321,1814.4387207,0
0.8110297,1.3486429,1216.0168457,0
0.7203051,0.5585938,1045.1018066,1
0.0549893,1.1106820,1753.5321045,1
0.0875353,1.2097627,764.6884766,1
0.0685305,1.2570297,1795.2429199,1
0.0687665,2.3475926,1285.8895264,1
0.0818489,0.4971311,944.8459473,0
0.0619435,0.6696485,1405.9444580,0
0.0797793,0.5577831,901.9476929,0
0.1264862,0.2896371,1000.9671631,0
0.0839190,1.1339885,1081.4067383,1
0.0680363,1.2638354,1564.0192871,1
0.0541565,0.5360963,1557.6529541,0
0.0572342,1.6123729,1515.1141357,0
0.3879375,1.1058952,916.7622681,0
0.3791905,1.0495478,928.2222290,1
0.3293478,1.0275583,951.5322266,0
0.2952593,1.8303311,1000.2061768,1
0.0427954,0.5056678,1817.3382568,1
0.0421144,0.6552609,1068.7900391,1
0.0300153,2.0989845,1875.4290771,1
0.0246842,0.6395483,2034.5968018,1
0.0251154,1.1273727,2028.8060303,1
0.3292156,1.5311096,1715.1401367,1
0.2317930,0.7781864,1430.3802490,1
0.2813230,0.5203403,1328.0489502,1
0.3055176,0.3558560,1258.3127441,0
0.4171670,0.1912254,1262.1838379,1
0.4057345,0.1230935,1211.3677979,1
0.4858341,0.1570612,1190.3588867,1
0.5467413,0.1312668,1168.0046387,1
0.6240417,0.3335214,1167.9797363,1
0.7851617,0.3512154,1007.4019165,1
0.9236445,0.0503169,1055.3690186,1
0.8634605,0.0757006,1070.8687744,1
0.9146200,0.1389215,1047.7237549,0
0.7583165,0.2588025,1018.6321411,0
0.6988661,0.5615571,1064.0627441,0
0.6370226,1.0912191,1158.9819336,0
0.5966721,1.3166866,1166.3927002,0
0.7542025,1.1347463,1143.8889160,0
0.7144063,0.5196416,1029.6635742,0
0.6363657,0.2817585,971.4501953,0
0.6966630,0.1727890,918.4421997,0
0.6828434,0.1999062,911.0340576,0
0.6937197,0.2319477,863.0427246,0
0.5763300,0.0327460,807.4136963,0
0.4931199,0.2350637,850.6044922,1
0.4943417,0.0677777,929.2204590,1
0.5551223,0.1509132,718.3498535,1
0.0644030,1.0922675,1320.4104004,1
0.0600775,1.2924984,1579.3824463,1
0.0604485,1.0092424,1544.6076660,1
0.0690207,1.4132425,1222.5733643,0
0.0855639,0.2072509,925.0111694,0
0.0641708,0.8777758,1448.3789062,0
0.0852334,1.2974598,1237.0822754,1
0.0849053,0.6961240,1148.3281250,1
0.0593296,1.2033787,1542.5679932,1
0.0651921,0.4958441,1481.3536377,0
0.0629745,1.6785884,1320.1134033,0
0.4470269,1.2857965,937.2831421,0
0.4409063,0.0611640,900.3350830,1
0.3489688,1.6276511,930.2112427,0
0.0430171,1.7410064,1509.7297363,1
0.0345449,0.4775782,1552.6309814,1
0.0317065,0.3972852,1671.6325684,1
0.0290911,0.9149751,1558.2489014,1
0.0261157,1.6472702,1891.0092773,1
0.0220926,0.9162707,2026.8427734,1
0.4579837,1.3371335,1492.8836670,1
0.2354147,0.8134145,1450.7817383,1
0.2908176,0.6126904,1417.5135498,1
0.3056013,0.4764141,1273.0186768,0
0.3966715,0.2114727,1191.0140381,0
0.5310429,0.1093074,1171.4776611,1
0.7773861,0.3115001,1220.9481201,1
0.5599802,0.3657042,1079.3446045,0
0.7016596,0.2725525,1120.8118896,1
0.8359771,0.1842378,1077.7058105,1
0.8531787,0.0556783,1038.6697998,1
0.9250411,0.1234387,1022.0020142,1
0.9080756,0.1767383,1046.3618164,0
0.7363775,0.1555859,1012.0798340,0
0.6689211,0.3187642,1017.5975952,0
0.7768937,0.3544740,1075.9572754,0
0.7420396,0.3967481,1065.1407471,0
0.7371561,0.3545386,1037.8067627,0
0.7905098,0.2487385,1009.0932617,0
0.7291999,0.2592320,965.9895630,0
0.7951175,0.2225508,932.1570435,0
0.6772219,0.1717418,886.0790405,0
0.5720922,0.2143006,870.1008301,0
0.6550657,0.0854541,828.8221436,1
0.5603740,0.2442667,849.1863403,1
0.5722263,0.1250854,904.1101685,0
0.6606426,0.2398649,850.0086060,0
0.6905438,0.1153426,838.6437988,1
0.6687287,0.1013457,801.3450317,0
0.6486647,0.0851812,797.0889893,1
0.5516886,0.1718684,810.5369263,0
0.5536131,0.4036400,866.1950073,0
0.0674008,1.1220273,1344.5279541,1
0.0701174,0.5902250,1097.2849121,0
0.0884046,2.0280917,1012.1193237,1
0.0546461,0.7925873,1769.4044189,1
0.0687123,1.9550982,1257.0153809,0
0.0757770,1.1903511,1073.6486816,0
0.0731608,1.0626434,1076.7763672,0
0.0608598,0.3650874,1783.3389893,1
0.0907320,0.2823926,1112.3491211,1
0.0660044,1.0362406,1349.6390381,1
0.0558466,0.7832595,1615.8582764,0
0.0699329,1.0825659,1252.4490967,1
0.0759846,1.1540766,1027.6855469,1
0.4472443,0.6749582,885.2420044,1
0.3858640,2.0227392,921.7919922,0
0.0458829,1.2793148,1768.1267090,0
0.0463506,0.5368378,1108.4144287,0
0.0361590,0.3285893,1986.4642334,1
0.0327055,0.3469065,1258.4937744,1
0.0279385,1.2519572,1650.6276855,1
0.3484067,0.0415242,1677.7229004,1
0.3060175,0.9080100,1879.2563477,1
0.3372851,1.1343249,1564.2438965,0
0.2472409,0.6563797,1398.2484131,0
0.2647509,0.5620465,1294.7353516,0
0.2660455,0.2838238,1268.9971924,0
0.4034863,0.1959070,1270.3618164,0
0.4523282,0.3831345,1166.3387451,0
0.6258488,0.3104195,1071.5394287,0
0.7500050,0.1083402,1025.8986816,0
